# id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s],y/n/m
120235.009,13,327.852,419.682,546.812,327.942,419.874,545.717,324,333,415,425,523,572,1894,49,61,4.7623,3.9956,-3.5478,3.9606,3.2596,-2.4638,643.5724,1.1921,24.8807,134.292,0.1994,74.1543,41.2183,29.89,31.7089,10.792289,5.0895762,-351706.99,y
202635.027,55,102.371,498.844,772.014,102.102,498.65,773.255,98,110,495,505,753,792,1387,39,75,6.8802,3.3566,-55.0791,5.8483,3.0018,-53.3134,554.6067,1.1931,23.8564,112.3371,0.251,59.3382,31.4561,19.8755,25.35,22.556324,30.402558,-184211.13,y
202635.255,442,493.832,317.163,1090.653,493.767,317.071,1089.717,490,498,312,323,1074,1108,1181,34,67,5.3048,3.6808,-21.3864,4.3653,3.3064,-7.7343,274.348,0.7627,0,158.5022,0.1627,49.0796,21.1974,15.5127,0,16.028561,27.376233,48743.589,y
441035.037,72,337.067,134.944,648.672,337.086,134.993,649.367,334,341,131,140,635,663,838,28,53,4.7945,3.3776,18.3077,3.9851,3.0044,15.8025,363.6631,1.0689,22.8091,359.7718,0.2437,51.5518,21.2024,17.1041,17.7007,42.639959,8.3415598,-275407.93,y
441035.051,93,85.788,138.772,711.169,85.708,138.767,710.794,81,93,134,144,689,735,2347,46,77,6.7389,3.4895,-62.4905,6.2646,3.0993,-62.6342,645.6114,1.0189,8.6919,311.1767,0.2063,64.6033,37.3051,30.0958,38.2252,46.829604,8.4044742,-230190.29,y
520235.039,64,231.459,429.361,713.186,231.5,429.259,713.591,225,239,426,434,692,737,2643,45,92,6.9825,4.1387,83.6735,5.9818,3.4827,82.9981,1147.3409,1.3953,37.1906,262.961,0.2297,97.1721,36.5694,23.8546,29.5769,52.400005,5.24599,-228130.79,y
841835.028,41,77.368,157.078,789.227,77.22,157.169,789.73,74,82,153,162,766,813,1514,47,52,4.5587,3.6275,24.4666,3.8256,3.0743,29.6902,453.0084,0.971,0,53.7308,0.1354,86.001,35.1376,22.7012,0,87.100802,16.685847,-172083.24,y
841835.338,587,114.027,33.146,1086.801,113.854,33.258,1083.981,106,122,28,39,1065,1107,2500,42,101,7.6974,4.186,66.2543,6.9328,3.5804,67.4742,1189.5932,1.6188,27.0632,243.4135,0.2326,102.2739,29.6259,19.3823,29.3735,86.434822,14.630164,44521.257,y
920235.261,442,301.526,232.455,1130.52,301.624,232.389,1130.09,296,307,229,238,1111,1152,1458,41,68,5.1189,4.029,-69.7404,4.3202,3.4582,-58.798,485.2153,1.1849,24.4687,176.2437,0.2057,61.7674,26.7878,20.5617,25.3253,91.231092,1.9648186,78463.255,y
1241835.237,421,119.388,451.879,1124.58,119.15,451.829,1122.687,115,125,448,456,1106,1144,1332,38,64,4.7005,4.2328,-74.3706,4.0467,3.6126,-78.4665,380.7429,0.8799,16.5309,230.2232,0.1925,54.1929,29.996,22.3357,27.1114,126.27238,21.622197,73013.548,y
