# id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s]
4.023501799999999639e+04,2.800000000000000000e+01,2.051939999999999884e+02,5.081689999999999827e+02,9.477100000000000364e+02,2.052050000000000125e+02,5.082830000000000155e+02,9.489329999999999927e+02,2.000000000000000000e+02,2.120000000000000000e+02,5.020000000000000000e+02,5.120000000000000000e+02,9.280000000000000000e+02,9.690000000000000000e+02,1.369000000000000000e+03,4.100000000000000000e+01,6.100000000000000000e+01,6.466300000000000381e+00,3.188899999999999846e+00,-5.464889999999999759e+01,5.343099999999999739e+00,2.818599999999999994e+00,-5.789929999999999666e+01,5.295330000000000155e+02,1.020699999999999941e+00,3.586100000000000065e+00,1.100323000000000064e+02,2.076999999999999957e-01,6.891639999999999588e+01,2.959219999999999828e+01,2.029500000000000171e+01,3.734559999999999746e+01,4.837894699999999659e+00,6.563063999999999787e+00,-5.489069400000000314e+04
4.023502399999999761e+04,3.900000000000000000e+01,3.632370000000000232e+02,4.009959999999999809e+02,9.474959999999999809e+02,3.632620000000000005e+02,4.009630000000000223e+02,9.482469999999999573e+02,3.570000000000000000e+02,3.710000000000000000e+02,3.940000000000000000e+02,4.100000000000000000e+02,9.310000000000000000e+02,9.640000000000000000e+02,3.176000000000000000e+03,3.300000000000000000e+01,1.490000000000000000e+02,7.917399999999999771e+00,6.227000000000000313e+00,-2.473140000000000072e+01,7.091700000000000337e+00,5.444200000000000372e+00,-3.843030000000000257e+01,1.430096299999999928e+03,1.455000000000000071e+00,1.044542000000000002e+02,2.764529999999999887e+01,2.107999999999999874e-01,1.204051999999999936e+02,2.116939999999999955e+01,1.472830000000000084e+01,1.336090000000000089e+01,2.203612600000000032e+00,4.774391200000000168e+00,-5.539549100000000180e+04
4.023505500000000029e+04,8.300000000000000000e+01,1.261899999999999977e+01,9.161299999999999955e+01,9.854759999999999991e+02,1.266200000000000081e+01,9.155700000000000216e+01,9.850480000000000018e+02,6.000000000000000000e+00,1.900000000000000000e+01,8.800000000000000000e+01,9.700000000000000000e+01,9.750000000000000000e+02,9.960000000000000000e+02,6.660000000000000000e+02,2.100000000000000000e+01,7.000000000000000000e+01,6.094000000000000306e+00,3.868399999999999839e+00,8.459390000000000498e+01,5.735899999999999999e+00,3.515200000000000102e+00,-8.743240000000000123e+01,1.934883000000000095e+02,1.156500000000000083e+00,1.204540000000000077e+01,7.791899999999999693e+01,2.635000000000000120e-01,2.845260000000000034e+01,1.679980000000000118e+01,1.488569999999999993e+01,1.585859999999999914e+01,8.046957100000000196e+00,-3.823801700000000192e-01,-2.830538300000000163e+04
4.103500699999999779e+04,8.000000000000000000e+00,4.743589999999999804e+02,5.849799999999999756e+01,5.117730000000000246e+02,4.742699999999999818e+02,5.839999999999999858e+01,5.115609999999999786e+02,4.700000000000000000e+02,4.820000000000000000e+02,5.200000000000000000e+01,6.700000000000000000e+01,4.940000000000000000e+02,5.330000000000000000e+02,2.854000000000000000e+03,3.900000000000000000e+01,1.240000000000000000e+02,7.673300000000000232e+00,5.040199999999999569e+00,3.400160000000000338e+01,7.440900000000000070e+00,4.571399999999999686e+00,3.245120000000000005e+01,6.211702999999999975e+02,8.096999999999999753e-01,2.007880000000000109e+01,1.903790000000000049e+01,1.932000000000000106e-01,6.018390000000000128e+01,2.555140000000000100e+01,1.884850000000000136e+01,2.350250000000000128e+01,3.534709300000000165e-01,7.065015999999999963e+00,-3.768499299999999930e+05
4.343500499999999738e+04,5.000000000000000000e+00,2.652440000000000282e+02,2.177940000000000111e+02,8.736069999999999709e+02,2.655389999999999873e+02,2.178189999999999884e+02,8.737799999999999727e+02,2.580000000000000000e+02,2.740000000000000000e+02,2.110000000000000000e+02,2.250000000000000000e+02,8.560000000000000000e+02,8.930000000000000000e+02,3.425000000000000000e+03,3.700000000000000000e+01,1.550000000000000000e+02,7.595500000000000362e+00,5.940599999999999881e+00,5.519200000000000017e+01,7.322799999999999976e+00,5.309499999999999886e+00,5.745889999999999986e+01,8.712309000000000196e+02,9.141000000000000236e-01,7.748959999999999582e+01,1.923305000000000007e+02,2.026000000000000023e-01,7.347339999999999804e+01,2.908650000000000091e+01,1.766090000000000160e+01,1.067479999999999940e+01,3.832329699999999839e+00,3.372205499999999745e+01,-1.102123200000000070e+05
4.343501799999999639e+04,2.500000000000000000e+01,2.147570000000000050e+02,2.789300000000000068e+01,9.111670000000000300e+02,2.147040000000000077e+02,2.791199999999999903e+01,9.116720000000000255e+02,2.130000000000000000e+02,2.180000000000000000e+02,2.400000000000000000e+01,3.400000000000000000e+01,8.940000000000000000e+02,9.260000000000000000e+02,5.800000000000000000e+02,3.200000000000000000e+01,3.400000000000000000e+01,4.123000000000000220e+00,2.250300000000000189e+00,-3.536000000000000032e+00,3.943299999999999805e+00,2.043600000000000083e+00,1.152400000000000091e+00,1.282544000000000040e+02,7.518000000000000238e-01,0.000000000000000000e+00,3.371456999999999766e+02,1.814000000000000057e-01,2.936139999999999972e+01,2.558820000000000050e+01,1.549349999999999916e+01,0.000000000000000000e+00,4.679576599999999864e+00,3.055693000000000126e+01,-8.231905499999999302e+04
4.343502100000000064e+04,2.900000000000000000e+01,3.354990000000000236e+02,1.715900000000000034e+02,9.220000000000000000e+02,3.354549999999999841e+02,1.716359999999999957e+02,9.219690000000000509e+02,3.330000000000000000e+02,3.400000000000000000e+02,1.680000000000000000e+02,1.770000000000000000e+02,9.040000000000000000e+02,9.400000000000000000e+02,1.116000000000000000e+03,3.600000000000000000e+01,4.900000000000000000e+01,4.450899999999999856e+00,3.478899999999999881e+00,9.966599999999999682e+00,3.921400000000000219e+00,3.000199999999999978e+00,2.914000000000000146e+00,2.318266999999999882e+02,6.749000000000000554e-01,7.824900000000000411e+00,1.509300000000000086e+00,1.607000000000000095e-01,4.319180000000000064e+01,2.915820000000000078e+01,1.566629999999999967e+01,2.877029999999999887e+01,2.667057900000000092e+00,3.295233699999999999e+01,-7.473912200000000303e+04
4.343502700000000186e+04,3.800000000000000000e+01,1.984139999999999873e+02,3.854519999999999982e+02,9.313540000000000418e+02,1.984329999999999927e+02,3.854239999999999782e+02,9.313500000000000227e+02,1.940000000000000000e+02,2.060000000000000000e+02,3.800000000000000000e+02,3.990000000000000000e+02,9.090000000000000000e+02,9.530000000000000000e+02,2.010000000000000000e+03,4.400000000000000000e+01,9.200000000000000000e+01,6.510299999999999976e+00,5.342399999999999594e+00,-3.784000000000000141e-01,6.085399999999999920e+00,4.689300000000000246e+00,-1.128800000000000026e+00,4.366985999999999990e+02,8.548999999999999932e-01,6.262100000000000222e+00,1.015022000000000020e+02,2.058999999999999997e-01,4.729749999999999943e+01,3.613179999999999836e+01,2.781690000000000040e+01,3.876449999999999818e+01,4.950763399999999592e+00,3.651547999999999661e+01,-6.783405700000000070e+04
4.343504400000000169e+04,6.800000000000000000e+01,1.189699999999999989e+02,4.367300000000000182e+02,9.532569999999999482e+02,1.188469999999999942e+02,4.366419999999999959e+02,9.544959999999999809e+02,1.110000000000000000e+02,1.260000000000000000e+02,4.310000000000000000e+02,4.430000000000000000e+02,9.300000000000000000e+02,9.760000000000000000e+02,3.970000000000000000e+03,4.600000000000000000e+01,1.350000000000000000e+02,7.843799999999999883e+00,5.640699999999999825e+00,7.100010000000000332e+01,7.222000000000000419e+00,4.893099999999999561e+00,7.113920000000000243e+01,1.271576999999999998e+03,1.197699999999999987e+00,0.000000000000000000e+00,2.658577999999999975e+02,2.064000000000000001e-01,9.779819999999999425e+01,3.127629999999999910e+01,2.209349999999999881e+01,0.000000000000000000e+00,6.277206699999999806e+00,3.736910699999999963e+01,-5.079550899999999820e+04
4.343515600000000268e+04,2.680000000000000000e+02,3.967980000000000018e+02,1.703800000000000026e+01,1.057367999999999938e+03,3.968120000000000118e+02,1.717800000000000082e+01,1.056673000000000002e+03,3.900000000000000000e+02,4.060000000000000000e+02,1.300000000000000000e+01,2.300000000000000000e+01,1.042000000000000000e+03,1.074000000000000000e+03,2.454000000000000000e+03,3.200000000000000000e+01,1.290000000000000000e+02,7.799900000000000055e+00,5.085399999999999920e+00,8.018720000000000425e+01,7.103100000000000414e+00,4.642100000000000115e+00,8.262279999999999802e+01,6.438651999999999589e+02,1.018799999999999928e+00,0.000000000000000000e+00,2.354543999999999926e+02,1.797999999999999876e-01,7.229569999999999652e+01,2.242289999999999850e+01,1.557300000000000040e+01,0.000000000000000000e+00,1.644442399999999971e+00,3.037803200000000103e+01,2.441943300000000090e+04
