id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s],yng,notes,stars
41835.011,23,381.585,132.354,557.056,381.777,132.332,556.347,377,386,128,138,527,597,2291,70,64,4.6423,3.873,52.9643,3.9442,3.3803,55.4488,470.6554,1.134,8.2811,159.5963,0.1906,51.5797,56.3246,50.6271,55.9716,1.8953789,16.297202,-343881.72,y,,y
43435.044,68,118.97,436.73,953.257,118.847,436.642,954.496,111,126,431,443,930,976,3970,46,135,7.8438,5.6407,71.0001,7.222,4.8931,71.1392,1271.577,1.1977,0,265.8578,0.2064,97.7982,31.2763,22.0935,0,6.2772067,37.369107,-50795.509,y,,y
120235.009,13,327.852,419.682,546.812,327.942,419.874,545.717,324,333,415,425,523,572,1894,49,61,4.7623,3.9956,-3.5478,3.9606,3.2596,-2.4638,643.5724,1.1921,24.8807,134.292,0.1994,74.1543,41.2183,29.89,31.7089,10.792289,5.0895762,-351706.99,y,,y
121035.036,59,247.889,90.655,940.158,247.902,90.452,940.36,242,255,84,99,918,963,4607,45,157,7.6104,6.6208,16.3398,6.8167,5.6169,19.3206,1795.8132,1.166,37.2487,353.3863,0.2161,122.4141,36.8349,24.7535,34.3977,12.126637,7.5991867,-61201.198,y,,y
203435.007,11,270.424,67.885,506.863,270.416,67.893,506.325,267,275,65,71,490,524,890,34,39,4.2252,2.9523,85.2405,3.9399,2.5374,89.4917,222.6673,0.6335,8.2152,83.3357,0.1382,54.0235,28.8626,20.5668,25.7389,19.751081,31.223272,-380704.6,y,,y
282635.043,75,481.975,392.503,963.525,481.944,392.557,964.166,478,488,387,398,948,981,1334,33,71,5.4756,3.8802,-31.9617,5.0922,3.5137,-37.1715,329.2893,0.9355,16.7547,11.3101,0.2214,40.7208,26.1356,15.0271,17.5457,24.225921,28.634281,-43677.009,y,,y
360235.011,24,485.066,104.911,609.351,485.118,104.843,609.142,481,489,102,110,589,631,1251,42,48,4.0874,3.5431,88.919,3.6784,3.3141,56.4939,304.2131,0.8888,11.5032,124.4932,0.2153,39.9462,35.6559,26.814,29.6082,32.172744,-0.16094709,-305018.59,y,,y
361035.01,28,239.234,196.15,597.117,239.283,196.029,596.487,235,244,193,201,580,614,896,34,49,4.8646,3.3458,61.1909,4.5239,2.9547,62.6213,246.8095,1.0284,11.0011,49.2542,0.2077,39.6917,25.354,19.9015,24.1833,36.270279,9.3588178,-314334.33,y,,y
361035.082,114,241.392,6.704,963.794,241.266,6.75,964.059,237,247,3,12,949,980,1357,31,71,5.3428,4.0758,-50.8766,4.5963,3.6672,-47.7865,402.0545,1.025,15.5695,231.7833,0.2028,53.8095,22.411,14.8628,20.2438,36.237229,6.2041556,-43755.707,y,,y
361835.006,24,35.979,343.719,658.892,36.18,343.661,658.6,30,43,338,351,633,686,4172,53,128,6.6005,6.0996,45.5764,5.9168,5.6162,32.0815,777.0774,0.7114,24.5681,101.6308,0.1477,81.4522,37.9536,31.9623,35.1967,39.655334,19.819353,-268610.95,y,,y
